Staining
Gram
Endospore
Ziehl-Neelsen
Haematoxylin and eosin
Papanicolaou
PAS
Masson
Romanowsky
Silver
Sudan
Wirtz-Conklin
Immunohistochemistry
Elastic
Verhoeff van Gieson stain
Giemsa stain
Romarowsky
Positive stain
Negative stain
acid-fast staining
H&E
